customer_key,customer_unique_id,customer_city,customer_state,customer_zip_code_prefix
68,002eb8b96288f3804e21d2777ac29895,betim,MG,32655
69,002ed12115742033f015cb3c269ccf68,santo andre,SP,09271
70,002ef00822613c94613e60e03b169fef,pitanga,PR,85200
71,002feefec5af0a3b26ee7839c66d205e,rio de janeiro,RJ,22745
72,003035f5ec76f2220098377482de93c9,divinopolis,MG,35500
73,003162bf0351f47a1a247992b8b9b42d,serra,ES,29160
74,00324c9f4d710e7bac5c5ba679714430,paraiso do tocantins,TO,77600
75,0032c76b20340da25249092a268ce66c,charqueada,SP,13515
76,0032ca69771a7758ce643258bb9e4ac7,sao paulo,SP,02242
77,0033f4a2887e07e25aa1204d482f41ba,salvador,BA,41815
78,00344274804f3b8003de1b0562ae01df,afranio,PE,56360
79,0034c76b7e6a17d738375b99afc2f01e,paraisopolis,MG,37660
80,0035029989e6fc5cf030918a5f9f2037,sao paulo,SP,04438
81,003650b504826ea534e02eba0ab58dd5,sao paulo,SP,05887
82,0036a074f98b80c4f1fc33dbbcf9c552,santa rosa,RS,98900
83,0036b4a3d09ad551a5188c2e374da402,maringa,PR,87020
84,0036d365b138cc0ee06bed755bcb5044,pindobacu,BA,44770
85,00370dfde3d012c420d29657afc2fc8b,candelaria,RS,96930
86,00377a18050b898b93e2c774be9947db,cuiaba,MT,78065
87,0037aa56b017c105c3a9d47af71fff98,belo horizonte,MG,31580
88,0037d2bbb9ebc39d9114aea27ee16d72,sao paulo,SP,05011
89,0037eb1ff742ee2e71ba887f65f3c6f3,jaboatao dos guararapes,PE,54280
90,003800162424b7b5b3d75c9cf22a66e7,feira de santana,BA,44059
91,00391594070baf8603f5fdc1d0c6a48c,aracatuba,SP,16021
92,003a5571a07dcf09bf117d13d2980ba3,salvador,BA,40270
93,003a7a8eb096ed3cbf713d2def1ca701,sao domingos do maranhao,MA,65790
94,003ac9408252444b489b1bfc013f5f8c,tapirai,SP,18180
95,003ae409f37c3c30cb1c974af3a42692,lagoa santa,MG,33400
96,003c2067070f5b3d923235b1ea1cc17b,aiuaba,CE,63575
97,003c457932a554e4df13834237b1ed00,sorocaba,SP,18030
98,003d56767e53e08671de00da3fba8d40,itajuba,MG,37505
99,003db7adfcdc49857b095a50191b6c9d,suzano,SP,08615
100,003e28cb6fab8a0901bff9229612375f,curitiba,PR,82560
101,003e2af81ea3c72fbdd093f07724a4de,sao paulo,SP,02420
102,003f4901fdb60ae9c1e2538b84c208e1,brasilia,DF,73255
103,003fb95e849e71e732629d94bb92762f,bebedouro,SP,14709
104,003fee4ca17927283128c7ddc6f9311b,nova friburgo,RJ,28610
105,004177f7bf62929186b32c7fdaa6157b,rio de janeiro,RJ,22745
106,004256f082951ec189a4962b6788c214,sao paulo,SP,01231
107,004288347e5e88a27ded2bb23747066c,nova iguacu,RJ,26220
108,0042dcca0ae57aaec6e808edc31a2d48,maceio,AL,57082
109,0042dfa8925d6eb23e471ec350454f04,sumare,SP,13175
110,0043d65f8039b4a4d43bc7b0f450ac2c,belo horizonte,MG,30570
111,00444f48f6c9b55657e49435ce3a97ca,uberlandia,MG,38401
112,00446a03d7a34d191507c9e42870d0a5,sao paulo,SP,02235
113,004493e0b0a37317d25665d340c0677d,rio de janeiro,RJ,21235
114,0045e9ad4d6c85d2323a7ab374b76183,barbacena,MG,36200
115,0046311f458d8041b00063cb99482903,sao paulo,SP,08270
116,0047f3e16441284d757a8963344f6c59,lencois paulista,SP,18680
117,0048706e497cfba0b689e1e3497bc99e,jaboticabal,SP,14870
118,0048a779a98a7848514096ff04046079,contagem,MG,32041
119,0049a16516d38fc2246696172a257f16,sao paulo,SP,02840
120,0049dadc30da6a277c1e9d371df5a66f,brasilia,DF,70680
121,0049db44bfd6cee26ac9c649329ff6ea,piracicaba,SP,13420
122,0049ec2d7a5818d0e4b3f4735cec2458,londrina,PR,86041
123,004a432489f6630c6dfd3fc4454603f5,curitiba,PR,81010
124,004ad212c650c96c8a48f30855a7bcb8,ataleia,MG,39850
125,004b45ec5c64187465168251cd1c9c2f,maceio,AL,57035
126,004b9b1634b7becda8eec4e96bced882,santo andre,SP,09240
127,004d17fa2cb102a7c4817f040c884e59,sao paulo,SP,05625
128,004df63539fd5e38d4b0a0506de7549c,castanhal,PA,68743
129,004ed862ea4e55f18868d3d782d10879,sao bernardo do campo,SP,09725
130,004f84d065096f3cedd26cf0adc80b9d,campinas,SP,13040
131,00504b68faa074d0f40adcb4f7727f71,mendes,RJ,26700
132,0050dcff37f8b9ff611d245e30572b46,santiago,RS,97700
133,00522457bba00bba576a34fd9b4808fd,sao paulo,SP,02402
134,005226be8d5b972d0f72b4e8a79f322b,rio de janeiro,RJ,22280
135,00539155ce68fbe677934aebdb17e09b,sao paulo,SP,08290
136,00543330561a9088f8b3879114a7b008,esplanada,BA,48370
137,0055b522bc89cbfbf376d8b59a628470,fortaleza,CE,60851
138,0055bbb9c95f6acb8db89d1f6c316407,criciuma,SC,88810
139,0056c2dd794a5eede6164dcae635875a,pirapora,MG,39270
140,0056f26cb8f20916c3baa0e39fc30709,osasco,SP,06186
141,005754cb59f8ee5cdbb5cda9d138757e,macae,RJ,27910
142,00575b2023dedcc0f3e81a938834689b,nossa senhora das gracas,PR,86680
143,0057f64bff87f4698b4cbd338d62a2a8,sao paulo,SP,02566
144,0058e7db269cc11558913b42beb115d0,campinas,SP,13026
145,0058f300f57d7b93c477a131a59b36c3,salvador,BA,40731
146,0059acd36094bf670ec8b21be6c0044c,cachoeira de minas,MG,37545
147,005d8faa4cf789cf52fb880a8569880a,brasilia,DF,72150
148,005e32bc930906dc6b65fb9d11cce3e2,picada cafe,RS,95175
149,005ee3e015ec18092d7782e507cf68fe,rio branco,AC,69909
150,005f060d4223956c62b64e9567a36f0f,jundiai,SP,13211
151,005f4b46e70bbd3295a38e2fd28d6566,rio de janeiro,RJ,20271
152,005f6fa02633470267dcd1e3ecd0fa79,matao,SP,15990
153,005ff4ebe100db3eebbe6f7b19a8f99a,sao paulo,SP,08381
154,006031108b00e5f73b2426a50b50f9c0,sao paulo,SP,01312
155,00605a8897ed9ad73b5c93bebad2541a,campos dos goytacazes,RJ,28022
156,00626f29f9b57d3ef7c1739ff03e944e,teresina,PI,64048
157,0062adafa3846d9f372d8f1bde591b24,sao paulo,SP,02452
158,0063817060d662048ed08bccecaf45d5,matupa,MT,78525
159,0064a1b5f5cddd047c987b988a90c8c1,marilia,SP,17511
160,0064c96f536ac6250275482221834154,santana de parnaiba,SP,06515
161,00651d97d964127ccfc0e2e55464876d,campinas,SP,13042
162,0065f6fb341f013a95a8e11cdc98d07a,sao paulo,SP,04814
163,0065f7795a38381973a373c8b4939679,porto alegre,RS,91230
164,0066b328e72fd82fd7420bf849c0e8b4,osasco,SP,06112
165,0067d2652c12515146721538868bbd80,blumenau,SC,89027
166,0068bd2e9e76c018846dbc6e2bec5ac5,sao paulo,SP,03904
167,006a8c1784d622ebe06bab57e72ee045,rio de janeiro,RJ,20551
168,006ab6f5e82340e927757563a9fbe7e4,nova iguacu,RJ,26070
169,006b297ed73773b17d8874a2eb4466e8,lauro de freitas,BA,42716
170,006bbb235068a01d2e3e47fa09ccf53c,brasilia,DF,70863
171,006c10bfead12ac8d90486fb4ce4e603,sao bernardo do campo,SP,09710
172,006d763076d74d16d66e828e79ec1544,montes claros,MG,39400
173,006e937bd5a5e32043018a6d1521b5d5,salvador,BA,40725
174,006ec5b170182812131c7d9b219c036f,divinopolis,MG,35500
175,006f2f20cf0cd723624b99d0e8e40d0c,curitiba,PR,81900
176,00704e915ae0d4a236eace0267454cf9,sabara,MG,34600
177,00705dcbc0b9cad67abd658612770905,sao paulo,SP,01151
178,0071f46a072a9ae25bbe4438b15efe9c,aracatuba,SP,16011
179,00720f160ff500d3605a1bf403eb62d9,jundiai,SP,13201
180,00728bae3dec9c16b2193ab7e3195eb7,paty do alferes,RJ,26950
181,00737247e3dc1942da2c527ef3bd2709,vespasiano,MG,33200
182,0074a1d3f1995ff0538dc7197500973c,capivari de baixo,SC,88745
183,00762eafc5dac5fc1574f91e9b7c9b67,sao paulo,SP,02136
184,007658319c060f337577e8a1834d5df5,joao pessoa,PB,58025
185,00765d375af0e700f61c57db00a8ee63,santa barbara d'oeste,SP,13456
186,0076a71311bb2386a353f5ba87d2aa29,quixada,CE,63905
187,00776f3807b128beca64cd0b27138d92,sao paulo,SP,03568
188,0077ba3f829303a1dce98552495c91a1,sao paulo,SP,02333
189,0077dc76aaf02323f03bce9b00878253,arapiraca,AL,57305
190,0078108af1d2dc4b1601c744ca581b4f,serra negra,SP,13930
191,0078bb0f0d23e922d08437b7d0e13907,belo horizonte,MG,31720
192,007953b3182d5ccc9189a694f5c68163,guarulhos,SP,07084
193,00797f371bc0f6adb4d267be541a92da,cruzeiro,SP,12703
194,0079b50e9f77c1148b472818f92eaebc,miguel pereira,RJ,26900
195,0079b7407a428543a7f178cc09164035,sorocaba,SP,18017
196,007a2fab7046647dad04fe7d08c57820,rio de janeiro,RJ,21330
197,007ad549acb91673f04eac22c0568114,mogi das cruzes,SP,08795
198,007b8307b6448f0425ff2001f00c1bdb,belem,PA,66093
199,007ba48697b079e78f168b051462dd1b,campos do jordao,SP,12460
200,007d9f716ead2bc8712255271a38f609,goiania,GO,74475
201,007e21b7a007c8f8dadfa43c9d5a91db,rio de janeiro,RJ,22611
202,0083e758383b3deb6c6dac1b0b431ac0,praia grande,SP,11702
203,00842c7d0cedb9e1edad8e9b7d148f09,tijucas,SC,88200
204,0085139b503668b3addcfe826d91be8d,urania,SP,15760
205,0085d749fc64f766ece1729464f8039a,jaboatao dos guararapes,PE,54420
206,008778a1591d49f6b2464dffaa4fa662,sao paulo,SP,03912
207,0087c31081ea8d160baa06bf4ad4d76f,joinville,SC,89227
208,0087eede471173af78d789df249c3a45,porto alegre,RS,90520
209,008b06aba4b5f5b5b94f525ccf520624,sorocaba,SP,18055
210,008b82b072c6b564fcce49a325f84097,rio de janeiro,RJ,21381
211,008ca52811784a181c8c88e8d66b49db,natal,RN,59082
212,008d17333e414049279c7822dfd5f019,sao paulo,SP,08440
213,008ea5bdd1a99fb584cce7739349da75,fortaleza,CE,60841
214,008f3d5f45a11059239a5c452cd00006,sao pedro da agua branca,MA,65920
215,008fb2ecc75561d202dd4db2e0ceec25,sao paulo,SP,02873
216,009000746b4fc73fe77ecc396fdb78d2,belo horizonte,MG,30310
217,009062f98089a091615b5c9faa13de26,vila velha,ES,29101
218,009210a1646725341917560a13f7799f,planaltina do parana,PR,87860
219,009231b0ef6a6b4f5a5fe46938827b83,campinas,SP,13084
220,009301957bc7714394865c44650d8060,campinas,SP,13059
221,0093aeb87eca387dd153f965aa10c060,sao paulo,SP,04216
222,0093c499f4f9c0e169ead490aa62ce3e,barbacena,MG,36201
223,0093dbe7f479386a92095026decf825d,sao paulo,SP,02238
224,00941614a654458b888b8780815bd26c,jacarei,SP,12335
225,00950dbc783342e164c24e09023ebcb7,guarulhos,SP,07081
226,009671b5dc80cdf32aeb5850868ba81c,rio de janeiro,RJ,23032
227,0096c18412349537abc45e350581cbbc,novo hamburgo,RS,93310
228,0096c9cb600a08e601f7c2be6734531a,aruja,SP,07417
229,0096f8cd903cc205efab77d5ae6bb6f1,piracicaba,SP,13426
230,00970787f181925ba33bd32b3817f742,rio de janeiro,RJ,20530
231,0097c1e3f3c2fed7a7d8cf30be1a33df,itu,SP,13300
232,0097fca0db567f5ca79509b7b4fc1c2d,sao paulo,SP,03405
233,00986cafefb6e670cceca01694bda599,pedreira,SP,13920
234,0098853a28531d48988a2fb02b30840e,niteroi,RJ,24230
235,009890d2f2b15df1267ed7f90f45fc4e,campos belos,GO,73840
236,0098f4847541cc7d676f9a5efc64c0f0,belo horizonte,MG,30411
237,009a0802534f904b40b9d512b49794e1,rio de janeiro,RJ,22210
238,009a3ad0cbdfc7f5481488472f72e8b1,campinas,SP,13070
239,009b0127b727ab0ba422f6d9604487c7,sao jose dos campos,SP,12244
240,009dd7b313c04f4ccd9d4e423bc04ba7,poco fundo,MG,37757
241,009e70fcdd4ea3769c73210414e73c64,campanha,MG,37400
242,009f647a455451d6c325bef96685e1c1,uberlandia,MG,38400
243,00a02d822b18db532e50e0607e615f3b,sao bernardo do campo,SP,09862
244,00a089b8c7ab1e3808c3ad7de7a254dd,campinas,SP,13049
245,00a1c6913daeda0b7f9b79f802805fdb,sao miguel do oeste,SC,89900
246,00a1d0d7d91c17c634d6896ce10ce1c6,fortaleza,CE,60711
247,00a1e8f160b36ccdcbca310933f12a3b,sao paulo,SP,04058
248,00a218ea82c458456098caa1c4a7e796,mar de espanha,MG,36640
249,00a33236962b4ac37fd25275be9c206b,rio de janeiro,RJ,23042
250,00a39521eb40f7012db50455bf083460,brasilia,DF,72595
251,00a3a868d6047bac2888d27b16743ba0,rio de janeiro,RJ,21230
252,00a6ee75a90222405df9d8d59babc513,bom jardim,MA,65380
253,00a78b45ea275348c1a8081bef9ab61b,santa barbara d'oeste,SP,13453
254,00a7d14cb10e11b7f7d65120a7e3942f,sao paulo,SP,02555
255,00a9fd000ff87bb48b989df819c418f5,rio de janeiro,RJ,20551
256,00aafcd186fbd5da867f9b8df04518aa,bom jesus do itabapoana,RJ,28360
257,00ab80210f1875276065f3c1911a2110,sao paulo,SP,03572
258,00ab8b4d83051d5a41842abe7ff473fc,indaiatuba,SP,13331
259,00aba8ca6b7a455bcde671692a3f9e51,castelo,ES,29360
260,00ac9cd5c4ad19e16e7c6f6864711737,itajuba,MG,37500
261,00ad4e6c01a3039fa1b45eaadb4222e4,aparecida,SP,12570
262,00ad5165112e0e9a91a23b1132716584,rio de janeiro,RJ,20510
263,00adeda9b742746c0c66e10d00ea1b74,sao paulo,SP,05650
264,00ae50eb5e1d2514f694dee1dcbbd5ae,sao paulo,SP,04945
265,00ae9ea276a5a4335382c9391059ddf2,sao gabriel da palha,ES,29780
266,00af5c2c9fd47849143be82aea5ab2cf,acopiara,CE,63560
267,00b0595d2b0f0b838edb7fbc749ea644,jacobina,BA,44700
268,00b0d21952ae29dfe79db614512a27c2,rio de janeiro,RJ,20780
269,00b1066a65657ee1759544f6b61a4e2c,sao paulo,SP,05065
270,00b1b0f856eb804d554ceab3d8f1dc35,brasilia,DF,72130
271,00b1d2492b4127598629f19a22a32be8,sao paulo,SP,05019
272,00b21d737fc7f475c145ca292832385d,belo horizonte,MG,30330
273,00b246520d4904724f9b20188a2ff39b,belo campo,BA,45160
274,00b2ca23369b68c4d4105ecea9c0cb93,alto santo,CE,62970
275,00b2ee6366438f46105832fd9acaf56f,fortaleza,CE,60712
276,00b309d0151d92709de70e43d662711b,rio de janeiro,RJ,23595
277,00b5ba65365dad1d25811bf5e45fc983,pitangueiras,SP,14750
278,00b72937dcd829c0d8ca72ec77cd073c,sao paulo,SP,01252
279,00b742e2f6d8fa571cd560007081d53b,pocos de caldas,MG,37706
280,00b8076004092a29c2c934570c356fc7,sao paulo,SP,04080
281,00b9746bf8ac2964942d8b969f015196,belo horizonte,MG,30190
282,00ba737b18a7996f68cb8a99556bedd4,serra,ES,29167
283,00bab5c446ba511117719c775a3f78e8,guaruja,SP,11420
284,00bbfe2f540d0cfccbb098d92c503eca,rio de janeiro,RJ,21310
285,00bc6cf36e50f21a8478d86721c07aa5,sao paulo,SP,02545
286,00bcc55fd3eb23fc001365c5f0c3c3ba,praia grande,SP,11713
287,00bd169997f142571c113645554663d6,belo horizonte,MG,31155
288,00bd194837f2ad36d45985a6205df78a,sao paulo,SP,04405
289,00bd903b65b4c9a1c822887d0b012592,rio de janeiro,RJ,22251
290,00be1845d956d40218db17093f667764,salvador,BA,40420
291,00bee19e1199bc5cede1c674177b9e22,goiania,GO,74780
292,00bfe974afd63b30ed282dc69892fb98,americana,SP,13478
293,00c003ed13c76042b78d53fbc26930d0,cariacica,ES,29150
294,00c04df1c94e385d57d4a33a2965217c,santa barbara,MG,35960
295,00c05fe9d2f8b245f1f86fe559175f24,serra,ES,29176
296,00c07da5ba0e07b4f248a3a373b07476,jacobina,BA,44700
297,00c0bbc49a530c07c110d269211da046,capivari,SP,13360
298,00c19498681c665889d1212be870e8df,viamao,RS,94435
299,00c1d73d161e74cfbe78975c1a2ba2ff,novo hamburgo,RS,93348
300,00c26c3dd77bb25a0423a2280886b86a,angra dos reis,RJ,23946
301,00c31de6420048cb3f668c99153debf7,rio claro,SP,13503
302,00c3624c55261d9ce593f30e3815a880,santana do livramento,RS,97573
303,00c3c74b09b2022ac2c0f43bb09797b4,sao paulo,SP,05547
304,00c4592dfbfe06775ab582d7a2b8dddf,sorocaba,SP,18065
305,00c4d93157cffc73cb2459f52b89cee4,sao goncalo,RJ,24422
306,00c5610e0f4b339cd3b0cc499937db8d,rio de janeiro,RJ,20031
307,00c605c0bfa39610b994c18f822a6d5a,curitiba,PR,81350
308,00c8c7f0cafacc30bfda2a9a7445ec80,rio de janeiro,RJ,21311
309,00c916ff33b521444787ac76ac6b029d,rio de janeiro,RJ,23036
310,00ca7e6a87ceddccce3ff015000be61b,salvador,BA,40290
311,00cac13832bd0a8b6f50f6a36b053223,sao paulo,SP,02229
312,00cc0061269a99836cf8b029b1d0177d,santos,SP,11035
313,00cc12a6d8b578b8ebd21ea4e2ae8b27,sao paulo,SP,03178
314,00cc2d4fcb3a1864b4f900741915aa85,rio de janeiro,RJ,22790
315,00cc7c54469f4177319d6bb12e883652,uruara,PA,68140
316,00cc8551c0621bc65a440e836bb652d7,sao paulo,SP,08230
317,00cd1ffd1a85ec2af3de73a3d341339d,porto alegre,RS,90050
318,00cd767526517f8a4fc27db6cc5a52fa,igrejinha,RS,95650
319,00cdb0d59698da325d0e6830120363bf,ipero,SP,18560
320,00cf2f12497614285e5dbfb77d6dd312,sao paulo,SP,03310
321,00d012266be1430eec790d0f405a836c,porto alegre,RS,90040
322,00d03b5e33f8987549c5590313a4ef21,pantano grande,RS,96690
323,00d079bd851bf5d13879d7a2a3b5ec48,tangara da serra,MT,78300
324,00d1e5d82377766dac9f8dc4d4eaf4a8,penapolis,SP,16304
325,00d447911e5d5ae87480df8734b915f2,niteroi,RJ,24230
326,00d474cea9ceb88b7175d564b081dfa3,imbituba,SC,88780
327,00d4ef3e086e2191c3fb6e7b0d2a1c75,bauru,SP,17060
328,00d76f8bb8df7e07711da4076c52ffe0,ribeirao das neves,MG,33925
329,00d7812c158831a996a6b3f4698643b5,jundiai,SP,13212
330,00d7e54ab8c5d9916f19209dbaacbb3d,osasco,SP,06114
331,00d8411c0f5ee4e0a9b8900ea483680e,sarandi,PR,87111
332,00d85302f43fe8848153e3720c34ac01,santa cruz do sul,RS,96832
333,00d890d6e36244f39e22a9fb95e68756,sao luis,MA,65041
334,00d8a60ad2500432d9edd109cfddfd9e,jamaica,SP,17905
335,00d8ba74be3eee415fe4508fdd325ee5,jundiai,SP,13210
336,00d96f54b90a6ffbe7361bcfdb85b0ba,vitoria,ES,29055
337,00da34ebf22b87f6c2f53dc069f237df,sao paulo,SP,05653
338,00db0070b3c3bd0215072323c8499407,sao jose do rio preto,SP,15035
339,00db525fd8d4023dc446f0ed2519139f,mineiros,GO,75830
340,00dba3af1366ca8114a40bc83021f5e9,sao paulo,SP,03589
341,00dd4390a8e8ad7a126e8331decc49ce,rio de janeiro,RJ,20540
342,00df047af693b421c167e27932bfd6c5,sao paulo,SP,05849
343,00df9d2e50424d103ca8796e4dc7c207,para de minas,MG,35660
344,00dfebc9135c7228dbb2239afc214bb5,taubate,SP,12030
345,00e04d8e3aaa5ffab327612642ab4564,sao paulo,SP,08411
346,00e10a3ff1e104902141546420f5a18b,porto alegre,RS,91796
347,00e130c15fdc51673742f622aa7eb63c,juiz de fora,MG,36081
348,00e151934c812526b4ed6174c8b7b1f7,horizontina,RS,98920
349,00e20792154788aa00f53fbd616a8d91,curitiba,PR,80310
350,00e2972a013072289c3e86cfc2b9e38d,brasilia,DF,71741
351,00e336519abc0012c8711db2132467ac,itu,SP,13308
352,00e57919b893c89f4d9eee8d06c41f6f,santo andre,SP,09121
353,00e5dfd6ee7406a69b74c72795e6f354,guarulhos,SP,07121
354,00e5ea6932dffb682bd3d5760e84d176,sao carlos,SP,13575
355,00e5fd621e63c426ef718e2174ebedc5,porto alegre,RS,91910
356,00e67cd18afc92ef0196eb8cdf31fde0,sao pedro da aldeia,RJ,28940
357,00e6c1a9e0ea3dbda699b60023a194ac,valinhos,SP,13271
358,00e707efa5ad9f0e6bcaeeb87910693b,santa rita do sapucai,MG,37540
359,00e872ca2fc94e59982286e69f186e0e,salvador,BA,41200
360,00e8cbf31206edcf22b7b118daa13983,rio de janeiro,RJ,21321
361,00e8de2edf1a4ac05a65e36b4682cd9e,sao paulo,SP,03436
362,00e91970e7fa706ece5b58bdb6344224,teresopolis,RJ,25961
363,00e984e99fdfd52943156d2d7eb4a5e6,vitoria,ES,29052
364,00eba9372ced7769c4b9f234923d73cc,sao paulo,SP,02050
365,00ec23a308504080697e5204d3dbcb2c,sao paulo,SP,04024
366,00ec5df43edcae768361caa707fded3e,sao paulo,SP,05841
367,00ec6ce865af3a65e9cca32b180e5d20,salvador,BA,41600
368,00ec821ef89535a690a072e80387b40e,guariba,SP,14840
369,00eca7e1c994897d0a31bf75478f4b55,barbacena,MG,36202
370,00ecc71175078e2cac5547a5656e9622,sao paulo,SP,05273
371,00ee11b831faa111cd62af2f4de8da96,ilhabela,SP,11630
372,00ee7af62ef66b1f9b49f2c2bfd70ad5,rio de janeiro,RJ,23040
373,00f0b70fdcb8a6e1671b52a2472bd41f,sao paulo,SP,05362
374,00f326313b0a02392c17028f78338df0,delfim moreira,MG,37514
375,00f7a39823c05d6a0675aa6dd276bfb0,sao paulo,SP,03658
376,00f8151e6b5d1b3710527075ef845a88,sao paulo,SP,05466
377,00f8fcf41cceee827e699cc73950218d,florianopolis,SC,88090
378,00face5c8f7dbb7eefd4112722f26903,sao vicente,SP,11320
379,00fb8f6787f67bd33c7e86c9691d2b1c,sao paulo,SP,03186
380,00fb957ae14ffd35a3211d8aa6d9cf9c,sao paulo,SP,04009
381,00fb9cc86736fe3782dbc828a2eea4a6,guaruja,SP,11497
382,00fd18b088edb95d1a35457f1c0e1bfa,rio de janeiro,RJ,20530
383,00fd4a627a3b93cff0729f0b3554640d,itupeva,SP,13295
384,00ff5e862f825ac56e5fdfaa6b69dc51,jundiai,SP,13211
385,01007c64cbffc1eef7ee682dae0ddbfe,salvador,BA,40295
386,01007ebf75cabcd9d81d1aac37b278ca,sao jose dos campos,SP,12237
387,01018f26fb8b8a922c025de40a85a553,juiz de fora,MG,36030
388,0101da21926315ddd81d190e0ec40440,sao paulo,SP,05054
389,01020c5b6024bc1cf2a3228e566bafb2,itapitanga,BA,45645
390,01027e860e6fb9591599d94a4189e2ad,jundiai,SP,13206
391,01029081d0cfc339576f71ab45713d10,presidente prudente,SP,19010
392,01029c2615eacab8d39f0450e6b0bef3,rio de janeiro,RJ,21310
