fact_key,order_id,order_item_id,customer_key,product_key,date_key,geo_key,order_status,price,freight_value,total_payment_value,avg_review_score,is_canceled
51,001daeb0eddc45b999bad0801ad9d273,1,82824,6347,503,10841,delivered,38.33,16.79,55.12,5.0000000000000000,f
52,001dbc16dc51075e987543d23a0507c7,1,74749,15483,394,8980,delivered,69.90,18.00,87.90,5.0000000000000000,f
53,001e7ba991be1b19605ca0316e7130f9,1,6069,17557,443,16059,delivered,195.00,18.21,213.21,5.0000000000000000,f
54,001e7cf2ad6bef3ade12ebc56ceaf0f3,1,25387,24377,870,9579,delivered,35.90,15.20,51.10,1.00000000000000000000,f
55,0020262c8a370bd5a174ea6a2a267321,1,27226,21188,698,16423,delivered,79.50,21.05,100.55,4.0000000000000000,f
56,0020a222f55eb79a372d0efee3cca688,1,50980,29064,593,7450,delivered,29.99,15.10,45.09,5.0000000000000000,f
57,002175704e8b209f61b9ad5cfd92b60e,1,87145,29697,843,5425,delivered,109.90,13.21,123.11,4.0000000000000000,f
58,00229e4e43f7a7e0b9dd819ad43268d3,1,7119,2629,821,4258,delivered,74.90,16.49,91.39,5.0000000000000000,f
59,0025081dcf9330f9a5052ae82c6ce396,1,80043,10176,817,8549,delivered,14.95,18.23,33.18,5.0000000000000000,f
60,00254baeb6c932b0a8aeead91fbd02b5,1,93741,3247,859,12441,delivered,149.90,43.11,193.01,5.0000000000000000,f
61,00259a44fcad3fc0474329e925d14fc3,1,51830,1585,727,8218,delivered,19.99,14.10,34.09,4.0000000000000000,f
62,0025c5d1a8ca53a240ec2634bb4492ea,1,94039,6942,920,12676,delivered,390.00,29.39,419.39,5.0000000000000000,f
63,002611a77fe03d076285fd4ca95db77c,1,72237,32686,789,14544,delivered,135.00,21.75,156.75,4.0000000000000000,f
64,002691433f09002ac9ca0c4e8dbb8ead,1,92944,8734,399,17894,delivered,104.00,16.43,120.43,5.0000000000000000,f
65,0026a368634b6e6f34f33b1499773a30,1,17646,17659,666,781,delivered,149.00,15.80,164.80,4.0000000000000000,f
66,00275bce676303c3bfd7292aefdfa223,1,74347,12989,694,2061,delivered,279.90,13.46,293.36,5.0000000000000000,f
67,00276d5c3491fbf55305e26891040df9,1,65847,14729,775,16940,delivered,44.90,23.22,68.12,4.0000000000000000,f
68,002834535f7a609a5c68266f173fa59e,1,26144,28775,935,11146,delivered,37.99,19.18,57.17,5.0000000000000000,f
69,0028de0ca693a1bb26448916a81105cc,1,93619,677,958,18051,delivered,29.99,15.31,45.30,4.0000000000000000,f
70,002955b0acc63d04f6724a31967e82bd,1,90578,28066,718,9155,delivered,120.00,15.59,135.59,5.0000000000000000,f
71,0029c5db35ef291ce99d1262012e7daa,1,67361,15312,968,3488,delivered,492.75,21.62,514.37,4.0000000000000000,f
72,0029f17cf0e7640c5cb6825af681303f,1,49610,237,853,17184,delivered,94.90,18.54,113.44,5.0000000000000000,f
73,002af7fa9eb99d1456bceb6a13d6fc0b,1,76407,25051,780,17699,delivered,88.34,21.11,109.45,4.0000000000000000,f
74,002b430ff89b3a24c31a1170acbbedea,1,66948,26307,537,9526,delivered,199.99,65.56,265.55,5.0000000000000000,f
75,002b4e6fa42cd4a22cc86abc18fe9c05,1,13787,21385,801,742,delivered,99.90,19.67,119.57,5.0000000000000000,f
76,002c9def9c9b951b1bec6d50753c9891,1,40606,5995,865,147,delivered,78.00,8.90,173.80,4.0000000000000000,f
77,002c9def9c9b951b1bec6d50753c9891,2,40606,5995,865,147,delivered,78.00,8.90,173.80,4.0000000000000000,f
78,002d040018d12a3853c059f7f23ab5b1,1,6935,19504,689,16444,delivered,155.00,14.84,169.84,3.0000000000000000,f
79,002f16b7bc4530031b7d90f791b12d8a,1,88508,27509,914,2919,delivered,249.90,34.23,284.13,5.0000000000000000,f
80,002f19a65a2ddd70a090297872e6d64e,1,12209,20428,811,10226,shipped,53.98,23.31,77.29,3.0000000000000000,f
81,002f98c0f7efd42638ed6100ca699b42,1,17543,27347,582,18025,delivered,8.99,32.57,93.62,5.0000000000000000,f
82,002f98c0f7efd42638ed6100ca699b42,2,17543,17533,582,18025,delivered,44.90,7.16,93.62,5.0000000000000000,f
83,0030d783f979fbc5981e75613b057344,1,9675,22321,694,6653,delivered,60.60,17.67,78.27,1.00000000000000000000,f
84,0030ff924c38549807645976adeef2c0,1,82202,24339,815,8123,delivered,225.00,67.24,292.24,5.0000000000000000,f
85,00310b0c75bb13015ec4d82d341865a4,1,88877,25874,958,8178,canceled,39.90,15.38,55.28,1.00000000000000000000,t
86,00324b3eda39ba5ecce3945823e3594c,1,7377,11035,831,16836,delivered,76.00,34.07,110.07,5.0000000000000000,f
87,0032d07457ae9c806c79368d7d9ce96b,1,57418,1041,800,6635,delivered,159.00,27.19,186.19,1.00000000000000000000,f
88,003324c70b19a16798817b2b3640e721,1,94560,5742,504,9651,delivered,102.90,14.45,234.70,1.00000000000000000000,f
89,003324c70b19a16798817b2b3640e721,2,94560,5742,504,9651,delivered,102.90,14.45,234.70,1.00000000000000000000,f
90,00335b686d693c7d72deeb12f8e89227,1,13086,17486,564,7803,delivered,63.90,16.89,80.79,,f
91,00335f75ea6a4455b524a8dd177067f5,1,62554,29079,846,6724,delivered,168.80,8.21,177.01,5.0000000000000000,f
92,00337fe25a3780b3424d9ad7c5a4b35e,1,22799,4187,634,2928,delivered,59.90,9.94,139.68,5.0000000000000000,f
93,00337fe25a3780b3424d9ad7c5a4b35e,2,22799,2572,634,2928,delivered,59.90,9.94,139.68,5.0000000000000000,f
94,003423b755b562962a6225a8de40d12e,1,47607,17117,920,10627,delivered,232.75,28.58,261.33,3.0000000000000000,f
95,00345f338696283410b7977d2e3efc89,1,55408,1994,963,5214,delivered,48.90,18.44,67.34,5.0000000000000000,f
96,0035246a40f520710769010f752e7507,1,80287,17783,595,1818,delivered,87.00,12.11,99.11,5.0000000000000000,f
97,0035c0b07126fe9c24a325216fb96064,1,55362,30384,694,4850,delivered,131.90,18.54,150.44,4.0000000000000000,f
98,0035e6b7ade84b3f5b86bd49814793df,1,95348,14708,783,306,delivered,19.90,14.10,34.00,5.0000000000000000,f
99,0036757472ece3dde52fd4bfd929c90e,1,71416,9882,931,5832,delivered,136.99,66.04,203.03,2.0000000000000000,f
100,0036887767dea4bd43b1a88cd0d9477a,1,41058,7566,652,8084,delivered,399.99,23.64,423.63,5.0000000000000000,f
101,00378c6c981f234634c0b9d6128df6dd,1,77115,7413,764,2315,delivered,41.00,11.85,52.85,4.0000000000000000,f
102,003822434f91204da0a51fe4cf2aba18,1,13978,19796,895,6356,delivered,69.00,18.58,175.16,5.0000000000000000,f
103,003822434f91204da0a51fe4cf2aba18,2,13978,19796,895,6356,delivered,69.00,18.58,175.16,5.0000000000000000,f
104,0039500db36d50d7d0bfaf23723550f3,1,44961,12748,918,11664,delivered,169.90,33.33,203.23,5.0000000000000000,f
105,003a7f59d7e08a9c61d9e2881fe6459c,1,20772,21140,962,14386,delivered,119.00,15.28,134.28,5.0000000000000000,f
106,003a94f778ef8cfd50247c8c1b582257,1,96071,9010,946,16037,delivered,39.90,18.08,57.98,1.00000000000000000000,f
107,003cc6161d7a2593f2525cce0c330d32,1,4642,32286,946,740,delivered,85.00,12.90,97.90,5.0000000000000000,f
108,003d0634280ff3d1d3a54459349a6899,1,18069,28301,807,3238,delivered,220.00,8.89,228.89,3.0000000000000000,f
109,003d804eef0e1b856881cd18e0cc0d4c,1,23952,8491,687,13558,delivered,277.00,35.74,312.74,4.0000000000000000,f
110,003d9fc84ad902adf2265248b5ffe1a4,1,91034,8302,962,2795,delivered,66.99,27.75,94.74,4.0000000000000000,f
111,003edccf16bc5ec447f592913b3df2b4,1,34910,10400,919,13414,delivered,14.00,50.85,64.85,5.0000000000000000,f
112,003f201cdd39cdd59b6447cff2195456,1,44750,13102,783,6671,delivered,85.00,17.03,204.06,1.00000000000000000000,f
113,003f201cdd39cdd59b6447cff2195456,2,44750,13102,783,6671,delivered,85.00,17.03,204.06,1.00000000000000000000,f
114,003f9bcc09427647c4b9d361a523545b,1,10799,9845,768,4134,delivered,229.00,9.80,238.80,5.0000000000000000,f
115,00404fa7a687c8c44ca69d42695aae73,1,3574,10868,858,2917,delivered,99.90,0.00,99.90,5.0000000000000000,f
116,0040a56893444cb56cba7cfe2225e34e,1,51803,8228,753,10178,delivered,84.90,34.39,119.29,2.0000000000000000,f
117,004157daafa0bc8672e01f00e4f0c04f,1,87091,17916,507,12565,delivered,189.00,33.91,222.91,5.0000000000000000,f
118,00418a49a685c6bb60633291c3fab17a,1,22393,12197,642,3085,delivered,49.00,7.78,56.78,1.00000000000000000000,f
119,004345d16a1ab2c21962992c721c8643,1,52547,26936,916,14664,delivered,37.90,15.37,53.27,5.0000000000000000,f
120,0044c6f6d22dd280534344177c81b989,1,67223,245,869,1486,delivered,179.93,16.14,196.07,4.0000000000000000,f
121,0045e3085f083f0f38d24bb3f22e6593,1,35688,19159,588,4586,delivered,116.90,13.84,130.74,5.0000000000000000,f
122,0045f5225a96ef46630701167528fdcb,1,997,17356,892,8741,delivered,94.90,15.51,110.41,5.0000000000000000,f
123,0046176ff0dbc2a178b7885355dfbb71,1,33399,3427,880,8484,delivered,121.99,15.73,137.72,5.0000000000000000,f
124,0046e1d57f4c07c8c92ab26be8c3dfc0,1,66538,32854,635,732,delivered,7.79,7.78,15.57,5.0000000000000000,f
125,00471463a6106056c1a2a809f70de640,1,11501,20326,630,14448,delivered,179.99,85.97,265.96,5.0000000000000000,f
126,00482f2670787292280e0a8153d82467,1,80051,21742,410,8916,delivered,7.60,10.96,18.56,5.0000000000000000,f
127,0049edf42837aa808e03552a62bd2158,1,74308,7365,730,6642,delivered,49.90,17.60,67.50,1.00000000000000000000,f
128,004b62108b876867938746ad3154167f,1,27816,25407,916,2103,delivered,110.32,8.03,118.35,5.0000000000000000,f
129,004ba47bb589cdbc485e6025bd6d3c81,1,52403,18044,725,5642,delivered,49.00,11.85,60.85,5.0000000000000000,f
130,004ca5ae248069d68e8594df8abf6ce0,1,46247,26463,888,13624,delivered,159.90,61.18,221.08,5.0000000000000000,f
131,004d76fef3dd46eb4f70da049c8d1f93,1,69701,5361,720,5693,delivered,120.00,27.39,147.39,5.0000000000000000,f
132,004eab0fd8f28adaf8d488976f77febe,1,34501,1611,580,6402,delivered,21.50,11.98,33.48,5.0000000000000000,f
133,004f5d8f238e8908e6864b874eda3391,1,8898,11747,789,16085,delivered,122.99,15.61,138.60,3.0000000000000000,f
134,004fb11815bc03b01b20a614eef69d14,1,64258,13561,695,10753,delivered,72.99,19.75,92.74,5.0000000000000000,f
135,004fb5e6f90a178dc74ad2b016649249,1,18536,12445,528,6343,delivered,129.99,13.93,143.92,5.0000000000000000,f
136,005059edee63c8c708ba61910793b31b,1,77194,17176,767,7518,delivered,92.00,17.89,219.78,3.0000000000000000,f
137,005059edee63c8c708ba61910793b31b,2,77194,17176,767,7518,delivered,92.00,17.89,219.78,3.0000000000000000,f
138,00526a9d4ebde463baee25f386963ddc,1,47563,1583,950,3889,delivered,33.89,8.40,169.16,1.00000000000000000000,f
139,00526a9d4ebde463baee25f386963ddc,2,47563,1583,950,3889,delivered,33.89,8.40,169.16,1.00000000000000000000,f
140,00526a9d4ebde463baee25f386963ddc,3,47563,1583,950,3889,delivered,33.89,8.40,169.16,1.00000000000000000000,f
141,00526a9d4ebde463baee25f386963ddc,4,47563,1583,950,3889,delivered,33.89,8.40,169.16,1.00000000000000000000,f
142,0055b77cca3186676c147f532dd2547b,1,88754,27040,781,6710,delivered,149.00,40.37,189.37,5.0000000000000000,f
143,0057199db02d1a5ef41bacbf41f8f63b,1,57994,8582,749,15874,delivered,20.30,16.79,37.09,4.0000000000000000,f
144,00571ded73b3c061925584feab0db425,1,6206,17349,504,8151,delivered,179.90,15.01,389.82,5.0000000000000000,f
145,00571ded73b3c061925584feab0db425,2,6206,17349,504,8151,delivered,179.90,15.01,389.82,5.0000000000000000,f
146,00584d79015452d19fd3d044ba3abdc0,1,85966,28067,570,2955,delivered,109.90,12.27,122.17,5.0000000000000000,f
147,00588f5f20fee630b83d4709e0a42715,1,4426,24331,596,13839,delivered,89.00,25.90,114.90,1.00000000000000000000,f
148,005997dca4c1fc45066d0a03d54a6469,1,1583,5447,831,4505,delivered,120.00,13.75,133.75,5.0000000000000000,f
149,005a1dded353107dbabf8ffc83a20365,1,88227,16372,771,8819,delivered,75.00,14.28,89.28,5.0000000000000000,f
150,005b49de51a4e006055e8487a50ad8e4,1,50934,7285,465,18566,delivered,46.86,14.52,61.38,5.0000000000000000,f
151,005cad6157eadc7f1f09917607f1704a,1,23692,16391,471,4278,delivered,96.00,14.84,110.84,5.0000000000000000,f
152,005d9a5423d47281ac463a968b3936fb,1,36942,32369,657,5174,delivered,49.99,18.12,145.26,1.00000000000000000000,f
153,005d9a5423d47281ac463a968b3936fb,2,36942,9904,657,5174,delivered,24.99,13.58,145.26,1.00000000000000000000,f
154,005d9a5423d47281ac463a968b3936fb,3,36942,9904,657,5174,delivered,24.99,13.58,145.26,1.00000000000000000000,f
155,005e5166e99d1e4d0c4f808b0540ba94,1,47463,448,783,17356,delivered,120.10,16.60,136.70,3.0000000000000000,f
156,005f25968fc854ea16fb16f5bdbc87c7,1,79163,32064,794,3164,delivered,69.90,16.25,86.15,5.0000000000000000,f
157,00602f25bffa1dcfb71e202fbf9824fb,1,61950,6586,671,13604,delivered,39.90,54.02,93.92,5.0000000000000000,f
158,00611822267e76e0055c25c18506f06e,1,72534,7992,938,14982,delivered,159.90,20.31,180.21,4.0000000000000000,f
159,006127b8b9a1681a982313ed7129c3c0,1,56692,31934,798,3804,delivered,540.00,16.22,556.22,5.0000000000000000,f
160,0064d74f7de7917d54768d7722ad56ac,1,92979,32183,619,6849,delivered,189.90,31.17,221.07,5.0000000000000000,f
161,006557c3221c1fcd02b0106343ab357b,1,53616,16208,785,1939,delivered,14.90,8.27,23.17,5.0000000000000000,f
162,00664284de7a3470d22931ed78615ee4,1,52038,4303,633,1047,delivered,43.90,11.85,55.75,4.0000000000000000,f
163,0066a1fdaee16ad5022c5ef979d0b661,1,3322,6219,892,7374,delivered,139.00,87.28,226.28,5.0000000000000000,f
164,0067c6030d65af0ff98790158ddb0020,1,51918,367,848,1101,delivered,40.35,13.71,54.06,5.0000000000000000,f
165,0068468c453d28c8ef3fd089e50a5847,1,1943,6197,694,7300,delivered,469.00,20.85,489.85,5.0000000000000000,f
166,00685d31ae12e47470ba5c18ba74f22c,1,90525,14727,605,18928,delivered,59.00,16.17,75.17,1.00000000000000000000,f
167,0068c109948b9a1dfb8530d1978acef3,1,79468,10695,753,15739,delivered,35.90,15.79,103.38,1.00000000000000000000,f
168,0068c109948b9a1dfb8530d1978acef3,2,79468,10695,753,15739,delivered,35.90,15.79,103.38,1.00000000000000000000,f
169,0068e836900867da359bd81db9227a33,1,92913,14951,638,17922,delivered,96.99,16.44,113.43,5.0000000000000000,f
170,0068fb0e223115e911d362627e8b8800,1,3830,29514,930,1047,delivered,77.90,13.89,91.79,5.0000000000000000,f
171,006c42f310102c1910b3c5793ce5fc34,1,94809,22864,949,16224,delivered,229.99,20.80,250.79,5.0000000000000000,f
172,006cb7cafc99b29548d4f412c7f9f493,1,80482,28993,779,14265,delivered,56.00,14.14,70.14,5.0000000000000000,f
173,006cba07f62f921fe4f58365bde2b2eb,1,82304,17031,592,5566,delivered,69.99,11.99,81.98,5.0000000000000000,f
174,006dd93155bc2abd844cc5eed3a0fe7f,1,94947,4076,702,237,delivered,49.90,7.78,57.68,5.0000000000000000,f
175,006df90050498994d670b40da4651d22,1,32260,17255,956,2869,delivered,14.00,7.39,21.39,5.0000000000000000,f
176,006e05e81c068ddc38e48ebe189b922e,1,24810,296,727,8418,delivered,29.00,14.10,43.10,4.0000000000000000,f
177,006e43460a55bc60c0a437521e426529,1,11357,1065,497,4407,delivered,99.00,43.06,142.06,5.0000000000000000,f
178,006e91ddb0674525f84ce0da0655c7ba,1,24954,17102,831,3790,delivered,499.00,30.35,529.35,4.0000000000000000,f
179,006f7dfffe2d90809598e8f1972b829b,1,19850,21876,812,5316,delivered,39.85,12.79,52.64,2.0000000000000000,f
180,0070092bb6004faafa287e5fc35971e9,1,5613,6456,572,585,delivered,149.00,14.06,163.06,5.0000000000000000,f
181,0071ee2429bc1efdc43aa3e073a5290e,1,79898,118,753,2421,delivered,179.98,12.46,192.44,4.0000000000000000,f
182,0072847849eafe70995fa51a714c81ac,1,70460,2034,865,4538,delivered,219.99,14.90,234.89,4.0000000000000000,f
183,00750f68bb64537034e93554c64b41b5,1,80994,10702,682,4121,delivered,129.00,8.16,137.16,5.0000000000000000,f
184,00756576f4e494406945ac21cb82cfe0,1,29292,24641,761,5475,delivered,137.00,15.71,152.71,5.0000000000000000,f
185,00772b2af35643653f108fdac1155ee3,1,51454,17242,480,5016,delivered,37.00,10.96,47.96,4.0000000000000000,f
186,00789ce015e7e5791c7914f32bb4fad4,1,14322,32157,545,6670,delivered,154.00,14.83,190.81,5.0000000000000000,f
187,0078a358a14592b887eb140ef515f5ab,1,62807,14779,676,15129,delivered,253.52,82.86,336.38,5.0000000000000000,f
188,0079bca8e89bd52fdb87408e4f3fb94d,1,58536,3336,854,2500,delivered,49.90,7.39,57.29,5.0000000000000000,f
189,007bbb40c95870c0f75a7855f2636c65,1,83033,1938,845,1830,delivered,148.90,13.95,162.85,5.0000000000000000,f
190,007beb35f98c075747e6fc4fd1c0cb73,1,31452,26549,632,6390,delivered,64.90,18.69,83.59,4.0000000000000000,f
191,007c7cb12ef3567531307ca78d395758,1,93791,2880,782,15421,delivered,179.00,16.00,195.00,2.0000000000000000,f
192,007ec946d4f798caf2b43c9d44c56421,1,14283,15494,694,18403,delivered,27.90,15.10,43.00,5.0000000000000000,f
193,007ff0b0f79be782f633fc3b18cbe337,1,76549,29860,765,8073,delivered,39.00,16.11,55.11,5.0000000000000000,f
194,0080eebb288dba1857ccf048dfe6bdfe,1,6115,4320,589,16233,delivered,7.00,14.10,21.10,3.0000000000000000,f
195,0081ab2c99dc85945c28926b77dc6960,1,67733,29081,776,3344,delivered,269.00,10.70,279.70,2.0000000000000000,f
196,0081ce648af7d6a7bac2a93b6035d1e3,1,49545,3892,678,18617,delivered,99.90,17.95,117.85,5.0000000000000000,f
197,0084209c576daad6ff4534902fcb4892,1,91542,14941,552,6688,delivered,69.90,15.24,85.14,3.0000000000000000,f
198,0084e195fbd72ae51599af47f04afede,1,25093,21707,804,17957,delivered,89.90,23.13,113.03,1.00000000000000000000,f
199,00858d03144cc35cfd1dd043647e7c88,1,51787,29364,804,18189,delivered,165.00,19.03,184.03,4.0000000000000000,f
200,008720830a8a30e39e6f22f81818a141,1,37381,4618,591,2875,delivered,57.99,11.73,69.72,5.0000000000000000,f
201,0087889a1c836be17f58afd7f1729a4a,1,61207,12777,662,4864,delivered,259.00,10.63,269.63,5.0000000000000000,f
202,008819c6d5f6da6fa5cd9d50ca927cf4,1,91369,11408,947,301,delivered,55.00,7.65,62.65,3.0000000000000000,f
203,00891ba5de66f55000ee358ceea9b345,1,78460,30316,500,14262,delivered,133.00,16.69,149.69,5.0000000000000000,f
204,008990da719764fb392914d8ab53ad04,1,79422,21516,862,7539,delivered,35.90,18.23,54.13,5.0000000000000000,f
205,008a1b3db2a8bf63418c2cf7c7f494b1,1,88150,11843,823,8715,delivered,14.89,18.23,33.12,1.00000000000000000000,f
206,008a40c2b8b21893e04945ce58854b55,1,34885,182,850,5865,delivered,99.00,13.00,112.00,1.00000000000000000000,f
207,008c3a655c66f4d92370d0d422732f69,1,16273,31800,794,6012,delivered,90.00,9.44,99.44,4.0000000000000000,f
208,008ce8764db2e397e153000e017475b6,1,380,10738,869,1667,delivered,43.49,27.39,70.88,5.0000000000000000,f
209,008cfe221ab054c89bc31720098cca51,1,22287,15564,951,2885,delivered,109.99,36.85,146.84,3.0000000000000000,f
210,008d9bf350ff02ed444b3452cf3f57e0,1,1931,30898,886,7782,delivered,9.99,15.23,50.44,5.0000000000000000,f
211,008d9bf350ff02ed444b3452cf3f57e0,2,1931,30898,886,7782,delivered,9.99,15.23,50.44,5.0000000000000000,f
212,008dc31c0ae7121f2791953ae5f532c3,1,25065,27599,737,13327,delivered,28.50,34.15,62.65,5.0000000000000000,f
213,008dd5e80ebf8f849aa0c5bf4e22ce7a,1,24540,15230,810,5826,delivered,199.00,8.74,207.74,1.00000000000000000000,f
214,008eaf9004164883520d0bd32b107261,1,69134,32191,557,6514,delivered,135.90,21.44,157.34,5.0000000000000000,f
215,008f831b7185cff7ab35a46c37d64cd2,1,9383,4760,912,16818,delivered,249.00,37.09,286.09,5.0000000000000000,f
216,008fab5602c441d51f30b1464f5d4643,1,47482,31205,419,8430,delivered,49.99,15.56,65.55,5.0000000000000000,f
217,0091a677651feaf5a08d7bb147681e14,1,24267,24551,967,4806,delivered,38.00,7.53,45.53,4.0000000000000000,f
218,00921e4911895b93c7b4fc0d80c0815e,1,71485,26263,895,1659,delivered,85.00,11.62,96.62,5.0000000000000000,f
219,0093cbf16a6afb7f0ab7cc821b6f9e92,1,51691,21166,681,17378,delivered,117.30,25.66,142.96,5.0000000000000000,f
220,00946f674d880be1f188abc10ad7cf46,1,11160,10114,709,3093,delivered,99.90,18.57,232.72,4.0000000000000000,f
